Time,Force_Foot1,Force_Foot2
4970104,0,0
4970114,0,0
4970124,0,0
4970134,0,0
4970144,0,0
4970154,0,0
4970164,0,0
4970174,0,0
4970184,0,0
4970194,0,0
4970204,0,0
4970214,0,0
4970224,0,0
4970234,0,0
4970244,0,0
4970254,0,0
4970264,0,0
4970274,0,0
4970284,0,0
4970294,0,0
4970304,0,0
4970314,0,0
4970324,0,0
4970334,0,0
4970344,0,0
4970354,0,0
4970364,0,0
4970374,0,0
4970384,0,0
4970394,0,0
4970404,0,0
4970414,0,0
4970424,0,0
4970434,0,0
4970444,0,0
4970454,0,0
4970464,0,0
4970474,0,0
4970484,0,0
4970494,0,0
4970504,0,0
4970514,0,0
4970524,0,0
4970534,0,0
4970544,3099,0
4970554,3545,0
4970564,3691,0
4970574,3721,0
4970584,3767,0
4970594,3772,0
4970604,3773,0
4970614,3751,0
4970624,3580,0
4970634,3324,0
4970644,2755,0
4970654,606,0
4970664,0,0
4970674,0,0
4970684,0,0
4970694,0,3104
4970704,0,3548
4970714,0,3703
4970724,0,3730
4970734,0,3759
4970744,0,3766
4970754,0,3767
4970764,0,3739
4970774,0,3573
4970784,0,3321
4970794,0,2746
4970804,0,602
4970814,0,0
4970824,0,0
4970834,0,0
4970844,0,0
4970854,0,0
4970864,3344,0
4970874,3536,0
4970884,3725,0
4970894,3851,0
4970904,3873,0
4970914,3854,0
4970924,3821,0
4970934,3784,0
4970944,3680,0
4970954,3311,0
4970964,2378,0
4970974,146,0
4970984,0,0
4970994,0,0
4971004,0,0
4971014,0,3332
4971024,0,3544
4971034,0,3730
4971044,0,3846
4971054,0,3878
4971064,0,3845
4971074,0,3825
4971084,0,3777
4971094,0,3678
4971104,0,3307
4971114,0,2386
4971124,0,154
4971134,0,0
4971144,0,0
4971154,0,0
4971164,0,0
4971174,0,0
4971184,0,0
4971194,0,0
4971204,0,0
4971214,0,0
4971224,0,0
4971234,0,0
4971244,0,0
4971254,0,0
4971264,0,0
4971274,0,0
4971284,0,0
4971294,0,0
4971304,0,0
4971314,0,0
4971324,0,0
4971334,0,0
4971344,0,0
4971354,0,0
4971364,0,0
4971374,0,0
4971384,0,0
4971394,0,0
4971404,0,0
4971414,0,0
4971424,0,0
4971434,0,0
4971444,0,0
4971454,0,0
4971464,0,0
4971474,0,0
4971484,0,0
4971494,0,0
4971504,0,0
4971514,0,0
4971524,0,0
4971534,0,0
4971544,0,0
4971554,0,0
4971564,0,0
4971574,0,0
4971584,0,0
4971594,0,0
4971604,0,0
4971614,0,0
4971624,0,0
4971634,0,0
4971644,0,0
4971654,0,0
4971664,0,0
4971674,0,0
4971684,0,0
4971694,0,0
4971704,0,0
4971714,0,0
4971724,0,0
4971736,0,0
4971744,0,0
4971754,0,0
4971764,0,0
4971774,0,0
4971784,0,0
4971794,0,0
4971804,0,0
4971814,0,0
4971824,0,0
4971834,0,0
4971844,0,0
4971854,0,0
4971864,0,0
4971874,0,0
4971884,0,0
4971894,0,0
4971904,0,0
4971914,0,0
4971924,0,0
4971934,0,0
4971944,0,0
4971954,0,0
4971964,0,0
4971974,0,0
4971984,0,0
4971994,0,0
4972004,0,0
4972014,0,0
4972024,0,0
4972034,0,0
4972044,0,0
4972054,0,0
4972064,0,0
4972074,0,0
4972084,0,0
4972094,0,0
4972104,0,0
4972114,0,0
4972124,0,0
4972134,0,0
4972144,0,0
4972154,0,0
4972164,0,0
4972174,0,0
4972184,0,0
4972194,0,0
4972204,0,0
4972214,0,0
4972224,0,0
4972234,0,0
4972244,0,0
4972254,0,0
4972264,0,0
4972274,0,0
4972284,0,0
4972294,0,0
4972304,0,0
4972314,0,0
4972324,0,0
4972334,0,0
4972344,0,0
4972354,0,0
4972364,0,0
4972374,0,0
4972384,0,0
4972394,0,0
4972404,3523,0
4972414,3719,0
4972424,3879,0
4972434,3933,0
4972444,3951,0
4972454,3960,0
4972464,3908,0
4972474,3756,0
4972484,3566,0
4972494,3198,0
4972504,2255,0
4972514,0,0
4972524,0,0
4972534,0,0
4972544,0,3532
4972554,0,3709
4972564,0,3873
4972574,0,3924
4972584,0,3960
4972594,0,3951
4972604,0,3913
4972614,0,3751
4972624,0,3564
4972634,0,3204
4972644,0,2244
4972654,0,0
4972664,0,0
4972674,0,0
4972684,0,0
4972694,0,0
4972704,0,0
4972714,0,0
4972724,0,0
4972734,3360,0
4972744,3400,0
4972757,3738,0
4972764,3810,0
4972774,3855,0
4972784,3859,0
4972794,3849,0
4972804,3831,0
4972814,3698,0
4972824,3421,0
4972834,3024,0
4972844,2217,0
4972854,0,0
4972864,0,0
4972874,0,0
4972884,0,3355
4972894,0,3391
4972904,0,3737
4972914,0,3807
4972924,0,3844
4972934,0,3859
4972944,0,3847
4972954,0,3835
4972964,0,3688
4972974,0,3409
4972984,0,3034
4972994,0,2226
4973004,0,0
4973014,0,0
4973024,0,0
4973034,0,0
4973044,0,0
4973054,0,0
4973064,0,0
4973074,0,0
4973084,0,0
4973094,0,0
4973104,0,0
4973114,0,0
4973124,0,0
4973134,0,0
4973144,0,0
4973154,0,0
4973164,0,0
4973174,0,0
4973184,0,0
4973194,0,0
4973204,0,0
4973214,0,0
4973224,0,0
4973234,0,0
4973244,0,0
4973254,0,0
4973264,0,0
4973274,0,0
4973284,0,0
4973294,0,0
4973304,0,0
4973314,0,0
4973324,0,0
4973334,0,0
4973344,0,0
4973354,0,0
4973364,0,0
4973374,0,0
4973384,0,0
4973394,0,0
4973404,0,0
4973414,0,0
4973424,0,0
4973434,0,0
4973444,0,0
4973454,0,0
4973464,0,0
4973474,0,0
4973484,0,0
4973494,0,0
4973504,0,0
4973514,0,0
4973524,0,0
4973534,0,0
4973544,0,0
4973554,0,0
4973564,0,0
4973574,0,0
4973584,0,0
4973594,0,0
4973604,0,0
4973614,0,0
4973624,0,0
4973634,0,0
4973644,0,0
4973654,0,0
4973664,0,0
4973674,0,0
4973684,0,0
4973694,0,0
4973704,0,0
4973714,0,0
4973724,0,0
4973734,0,0
4973744,0,0
4973754,0,0
4973764,0,0
4973774,0,0
4973784,0,0
4973794,0,0
4973804,0,0
4973814,0,0
4973824,0,0
4973834,0,0
4973844,0,0
4973854,0,0
4973864,0,0
4973874,0,0
4973884,0,0
4973894,0,0
4973904,0,0
4973914,0,0
4973924,0,0
4973934,0,0
4973944,0,0
4973954,0,0
4973964,0,0
4973974,0,0
4973984,0,0
4973994,0,0
4974004,0,0
4974014,0,0
4974024,0,0
4974034,0,0
4974044,0,0
4974054,0,0
4974064,0,0
4974074,0,0
4974084,0,0
4974094,0,0
4974104,0,0
4974114,0,0
4974124,0,0
4974134,0,0
4974144,0,0
4974154,0,0
4974164,0,0
4974174,3583,0
4974184,3499,0
4974194,3778,0
4974204,3905,0
4974214,3931,0
4974224,3944,0
4974234,3950,0
4974244,3886,0
4974254,3777,0
4974264,3590,0
4974274,3195,0
4974284,2515,0
4974294,585,0
4974304,0,0
4974314,0,0
4974324,0,0
4974334,0,3574
4974344,0,3498
4974354,0,3787
4974364,0,3910
4974374,0,3938
4974384,0,3940
4974394,0,3957
4974404,0,3880
4974414,0,3777
4974424,0,3601
4974434,0,3205
4974444,0,2525
4974454,0,0
4974464,0,0
4974474,0,0
4974484,3944,0
4974494,3378,0
4974504,3756,0
4974514,3868,0
4974524,3922,0
4974534,3943,0
4974544,3939,0
4974554,3940,0
4974564,3914,0
4974574,3793,0
4974584,3646,0
4974594,3301,0
4974604,2431,0
4974614,18,0
4974624,0,0
4974634,0,0
4974644,0,0
4974654,0,3950
4974664,0,3384
4974674,0,3749
4974684,0,3863
4974694,0,3917
4974704,0,3933
4974714,0,3942
4974724,0,3946
4974734,0,3918
4974744,0,3784
4974754,0,3634
4974764,0,3304
4974774,0,2436
4974784,0,28
4974794,0,0
4974804,0,0
4974814,0,0
4974824,0,0
4974834,0,0
4974845,0,0
4974854,0,0
4974864,0,0
4974874,0,0
4974884,0,0
4974894,0,0
4974904,0,0
4974914,0,0
4974924,0,0
4974934,0,0
4974944,0,0
4974954,0,0
4974964,0,0
4974974,0,0
4974984,0,0
4974994,0,0
4975004,0,0
4975014,0,0
4975024,0,0
4975034,0,0
4975044,0,0
4975054,0,0
4975064,0,0
4975074,0,0
4975084,0,0
4975094,0,0
4975104,0,0
4975114,0,0
4975124,0,0
4975134,0,0
4975144,0,0
4975154,0,0
4975164,0,0
4975174,0,0
4975184,0,0
4975194,0,0
4975204,0,0
4975214,0,0
4975224,0,0
4975234,0,0
4975244,0,0
4975254,0,0
4975264,0,0
4975274,0,0
4975284,0,0
4975294,0,0
4975304,0,0
4975314,0,0
4975324,0,0
4975334,0,0
4975344,0,0
4975354,0,0
4975364,0,0
4975374,0,0
4975384,0,0
4975394,0,0
4975404,0,0
4975414,0,0
4975424,0,0
4975434,0,0
4975444,0,0
4975454,0,0
4975464,0,0
4975474,0,0
4975484,0,0
4975494,0,0
4975504,0,0
4975514,0,0
4975524,0,0
4975534,0,0
4975544,0,0
4975554,0,0
4975564,0,0
4975574,0,0
4975584,0,0
4975594,0,0
4975604,0,0
4975614,0,0
4975624,0,0
4975634,0,0
4975644,0,0
4975654,0,0
4975664,0,0
4975674,0,0
4975684,0,0
4975694,0,0
4975704,0,0
4975714,0,0
4975724,0,0
4975734,0,0
4975744,0,0
4975754,0,0
4975764,0,0
4975774,0,0
4975784,0,0
4975794,3446,0
4975804,3873,0
4975814,3977,0
4975824,4075,0
4975834,4095,0
4975844,4074,0
4975854,4065,0
4975864,4019,0
4975874,3950,0
4975884,3864,0
4975894,3705,0
4975904,3392,0
4975914,2638,0
4975924,450,0
4975934,0,0
4975944,0,0
4975954,0,0
4975964,0,3457
4975974,0,3868
4975984,0,3979
4975994,0,4063
4976004,0,4095
4976014,0,4082
4976024,0,4077
4976034,0,4014
4976044,0,3956
4976054,0,3855
4976064,0,3699
4976074,0,3383
4976084,0,2641
4976094,0,446
4976104,0,0
4976114,0,0
4976124,0,0
4976134,0,0
4976144,0,0
4976154,0,0
4976164,0,0
4976174,0,0
4976184,0,0
4976194,0,0
4976204,0,0
4976214,0,0
4976224,0,0
4976234,0,0
4976244,0,0
4976254,0,0
4976264,0,0
4976274,0,0
4976284,0,0
4976294,0,0
4976304,0,0
4976314,0,0
4976324,0,0
4976334,0,0
4976344,0,0
4976354,0,0
4976364,0,0
4976374,0,0
4976384,0,0
4976394,0,0
4976404,0,0
4976414,0,0
4976424,0,0
4976434,0,0
4976444,0,0
4976454,0,0
4976464,0,0
4976474,0,0
4976484,0,0
4976494,0,0
4976504,0,0
4976514,0,0
4976524,0,0
4976534,0,0
4976544,0,0
4976554,0,0
4976564,0,0
4976574,0,0
4976584,0,0
4976594,0,0
4976604,0,0
4976614,0,0
4976624,0,0
4976634,0,0
4976644,0,0
4976654,0,0
4976664,0,0
4976674,0,0
4976684,0,0
4976694,0,0
4976704,0,0
4976714,0,0
4976724,0,0
4976734,0,0
4976744,0,0
4976754,0,0
4976764,0,0
4976774,0,0
4976784,0,0
4976794,0,0
4976804,0,0
4976814,0,0
4976824,0,0
4976834,0,0
4976844,0,0
4976854,0,0
4976864,0,0
4976874,0,0
4976884,0,0
4976894,0,0
4976904,0,0
4976914,0,0
4976924,0,0
4976934,0,0
4976944,0,0
4976954,0,0
4976964,0,0
4976974,0,0
4976984,0,0
4976994,0,0
4977004,0,0
4977014,0,0
4977024,0,0
4977034,0,0
4977044,0,0
4977054,0,0
4977064,0,0
